value	old_description_da	new_description_da	description_en	translation_source
10201020	Grundskole 7.-9. klasse (compound: 10201020)	Grundskole 7.-9. årgang	Grades 7-9 (lower secondary school)	fable-5
10301020	Grundskole 10. klasse (compound: 10301020)	Grundskole 10. årgang	Grade 10 (lower secondary school)	fable-5
30551510	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30551510)	Industriteknikeruddannelsen	Engineering education for industry	reused-master
50583010	Teknisk, MVU (compound: 50583010)	Maskinmester, MVU	Marine engineer (maskinmester), MVU	fable-5
29151010	Kontor, handel og forretningsservice (KHF), grundforløb (compound: 29151010)	Det merkantile område, grundforløb	The mercantile field, basic course	fable-5
30152510	Kontor, handel og forretningsservice (KHF) (compound: 30152510)	Detailhandelsuddannelse	Retail trade programme	fable-5
20101020	Alment gymnasiale uddannelser (compound: 20101020)	Matematisk gymnasium	Mathematical upper-secondary school	reused-master
70902510	Sundhedsvidenskab, LVU (compound: 70902510)	Farmaci og lægemiddelvidenskab, LVU	Pharmacy and pharmaceutical sciences, LVU	fable-5
80905010	Sundhedsvidenskab, Ph.d. (compound: 80905010)	Medicin, Ph.d.	Medicine, Ph.d.	fable-5
30651515	Transport og logistikområdet (TBT) (compound: 30651515)	Lager- og terminaluddannelser	Warehouse and terminal programmes	fable-5
35301010	Grundskole til og med 6. klasse (compound: 35301010)	Adgangsgivende værkstedsskoleforløb	Qualifying workshop school programme	fable-5
50591010	Teknisk videnskab, MVU (compound: 50591010)	Teknisk videnskab uden nærmere angivelse, MVU	Engineering science, not further specified, MVU	fable-5
50582020	Teknisk, MVU (compound: 50582020)	Elektronik i øvrigt, teknisk, MVU	Other electronics, technical, MVU	fable-5
29251020	Teknologi, byggeri og transport (TBT), grundforløb (compound: 29251020)	Håndværk og teknik, grundforløb	Crafts and technology, basic course	fable-5
30403510	Teknologiområdet, strøm og elektronik mv. (TBT) (compound: 30403510)	Elektronik- og svagstrømsuddannelsen	Electronics and Weak Current Training	reused-master
29251030	Teknologi, byggeri og transport (TBT), grundforløb (compound: 29251030)	Mekanik, transport og logistik, grundforløb	Mechanics, transport and logistics, basic course	fable-5
30653515	Transport og logistikområdet (TBT) (compound: 30653515)	Chauffør mv., vejgodstransport	Driver etc., road freight transport	fable-5
20102010	Alment gymnasiale uddannelser (compound: 20102010)	Hf 2-årig	HF two-year	fable-5
